table	categories	attribute(s)	effect_size	missing
vectors1930	good vs. bad	scarred	-0.7488043636137398	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	scarred	-0.7176450829463441	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	scarred	-0.8290837537247173	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	scarred	-0.7029383287292077	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	scarred	-0.6042826562098492	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	scarred	-0.6115972549767277	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	scarred	-0.5037179585921934	['euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	retarded	-0.7787783863098752	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	retarded	-1.068506877844515	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	retarded	-1.1600430255478924	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	retarded	-1.1524589517578163	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	retarded	-1.2105416052780402	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	retarded	-1.2483296211833066	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	retarded	-1.297126719903432	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	retarded	-1.2665539206169008	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	retarded	-1.3072744398248746	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	retarded	-1.26089358078493	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	retarded	-1.1658259645571987	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	retarded	-1.1702071994628955	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	retarded	-1.358333565377252	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	retarded	-1.183594199900045	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	retarded	-1.1262949342642579	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	retarded	-1.1857414002125615	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	retarded	-1.3326680864963827	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	retarded	-1.0518490355272154	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	retarded	-1.0844344349836619	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	retarded	-1.1503722789813446	['institutionalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	disabled	-1.0461719561613054	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	disabled	-1.2614655206578473	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	disabled	-1.2392343386793732	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	disabled	-1.426179395311276	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	disabled	-1.368862164805901	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	disabled	-1.2992927038467221	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	disabled	-1.2994631298754393	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	disabled	-1.3767365054706877	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	disabled	-1.0874655235513009	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	disabled	-1.304950422085208	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	disabled	-1.135042449556253	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	disabled	-1.2005891035564866	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	disabled	-1.3564902599727595	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	disabled	-1.2695080236516685	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	disabled	-1.1442252829312722	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	disabled	-1.3199263703136377	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	disabled	-1.2620191766965554	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	disabled	-0.851453779330492	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	disabled	-0.8334635817006882	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	disabled	-0.9059863813645427	['rehab', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	schizophrenic	-0.6619106268408808	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	schizophrenic	-0.7772595075956238	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	schizophrenic	-0.8983884013335577	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	schizophrenic	-0.8677684275911594	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	schizophrenic	-1.04451480149705	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	schizophrenic	-0.9475515287113042	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	schizophrenic	-1.1088628136955778	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	schizophrenic	-0.8857848075897253	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	schizophrenic	-1.0003570549496448	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	schizophrenic	-1.1040017538696176	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	schizophrenic	-0.9165920852963974	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	schizophrenic	-0.988834000156996	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	schizophrenic	-1.2366005075953213	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	schizophrenic	-1.2152324846101479	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	schizophrenic	-1.1037437469730256	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	schizophrenic	-1.1251429247754472	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	schizophrenic	-1.1893607230668044	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	schizophrenic	-1.0674625978889254	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	schizophrenic	-1.0733280577048012	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	schizophrenic	-1.1216193423902505	['splitpersonality', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	short	-0.07886286708753264	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	short	-0.041329025498223246	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	short	-0.22734204843335956	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	short	-0.4262151924284541	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	short	-0.10247222082965832	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	short	-0.13273065023572655	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	short	-0.0008710436588175025	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	short	-0.34577283638899786	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	short	-0.40651691408083196	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	short	-0.2653357581766214	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	short	-0.12220499659562604	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	short	0.16463779781238577	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	short	0.14506563536207936	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	short	0.10246169718345938	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	short	0.23119740074498024	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	short	0.3762492432519385	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	short	0.4206425380999029	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	short	0.34603586044787454	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	short	0.4259059536219698	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	short	0.5130393479885184	['midget', 'pipsqueak', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	mute	-0.06999919120095065	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	mute	-0.07663615984172632	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	mute	-0.162144579985701	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	mute	-0.4648359576397298	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	mute	-0.2707359958856691	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	mute	-0.11834351394049768	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	mute	-0.26412536613228377	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	mute	-0.44944447100983814	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	mute	-0.34859930948077766	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	mute	-0.4819795586996236	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	mute	-0.4297669820928811	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	mute	-0.31598705647650227	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	mute	-0.5293599107958318	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	mute	-0.5813226613129209	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	mute	-0.43921713051135836	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1950	good vs. bad	mute	-0.2775413750750544	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1960	good vs. bad	mute	-0.4547936217824973	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1970	good vs. bad	mute	-0.43779837903021873	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1980	good vs. bad	mute	-0.4557282630082151	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1990	good vs. bad	mute	-0.7924981287578898	['aphonia', 'paraphasia', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1800	good vs. bad	stroke	-0.8396249998186707	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1810	good vs. bad	stroke	-0.6016434509054072	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1820	good vs. bad	stroke	-0.8349322032368923	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1830	good vs. bad	stroke	-1.2452947616993337	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1840	good vs. bad	stroke	-1.1615222445031035	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1850	good vs. bad	stroke	-1.0955212911194538	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1860	good vs. bad	stroke	-1.234564463283739	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1870	good vs. bad	stroke	-1.277708564007511	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1880	good vs. bad	stroke	-1.1195666669633983	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1890	good vs. bad	stroke	-1.204484448538989	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1900	good vs. bad	stroke	-1.0022893357243414	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1910	good vs. bad	stroke	-1.159263305382326	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1920	good vs. bad	stroke	-1.2071109649748033	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1930	good vs. bad	stroke	-1.1573594008913206	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
vectors1940	good vs. bad	stroke	-1.1407692614399298	['hospitalize', 'euphoric', 'bothersome', 'yucky', 'horrendous']
