table	categories	attribute(s)	effect_size	missing
vectors1940	good vs. bad	autistic	-0.29439809823457275	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1950	good vs. bad	autistic	-0.5959721348068582	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1960	good vs. bad	autistic	-0.5308265536537546	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1970	good vs. bad	autistic	-0.6868973310352623	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1980	good vs. bad	autistic	-0.6153101294748448	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1990	good vs. bad	autistic	-0.6390942841957011	['autistic', 'autistic', 'autism', 'neurological', 'schizophrenic', 'hyperactive', 'hyperactivity', 'euphoric', 'yucky']
vectors1800	good vs. bad	bipolar	0.0	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1810	good vs. bad	bipolar	0.0	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1820	good vs. bad	bipolar	0.0	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1830	good vs. bad	bipolar	0.0	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1840	good vs. bad	bipolar	-0.000830847392450728	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1850	good vs. bad	bipolar	-0.1540843314407545	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1860	good vs. bad	bipolar	-0.19803172815725714	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1870	good vs. bad	bipolar	-0.21445355309272723	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1880	good vs. bad	bipolar	-0.27332576786844814	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1890	good vs. bad	bipolar	-0.39242384790330126	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1900	good vs. bad	bipolar	-0.271743506719699	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1910	good vs. bad	bipolar	-0.22440012505965345	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1920	good vs. bad	bipolar	-0.24656871083078213	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1930	good vs. bad	bipolar	-0.2552092672077739	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1940	good vs. bad	bipolar	-0.271941448199049	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1950	good vs. bad	bipolar	-0.4389842631582002	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1960	good vs. bad	bipolar	-0.6465675271095173	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1970	good vs. bad	bipolar	-0.5389300027266692	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1980	good vs. bad	bipolar	-0.7576517892133289	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1990	good vs. bad	bipolar	-0.9406253697597277	['bipolar', 'bipolar', 'synapse', 'psychotic', 'euphoric', 'yucky']
vectors1800	good vs. bad	blind	0.30337398072503924	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1810	good vs. bad	blind	-0.5437317831579767	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1820	good vs. bad	blind	-0.4905740176217501	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1830	good vs. bad	blind	0.22439412155977576	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1840	good vs. bad	blind	-0.2909819905009398	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1850	good vs. bad	blind	-0.35372251005016203	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1860	good vs. bad	blind	-0.26376643811469885	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1870	good vs. bad	blind	-0.3114348368049669	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1880	good vs. bad	blind	-0.2527374524581745	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1890	good vs. bad	blind	-0.29686710771119196	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1900	good vs. bad	blind	-0.27517152163557057	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1910	good vs. bad	blind	-0.2567515551673531	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1920	good vs. bad	blind	-0.4018052401787553	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1930	good vs. bad	blind	-0.39847885749703343	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1940	good vs. bad	blind	-0.3617898555781377	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1950	good vs. bad	blind	-0.49787459080800883	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1960	good vs. bad	blind	-0.517662850516026	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1970	good vs. bad	blind	-0.5804075752653676	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1980	good vs. bad	blind	-0.8332585853400191	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1990	good vs. bad	blind	-0.7224558563575268	['visionless', 'impairment', 'euphoric', 'yucky']
vectors1800	good vs. bad	cleft	-0.3049579841120425	['euphoric', 'yucky']
vectors1810	good vs. bad	cleft	-0.4001239162317078	['euphoric', 'yucky']
vectors1820	good vs. bad	cleft	-0.4438437195595088	['euphoric', 'yucky']
vectors1830	good vs. bad	cleft	-0.15280299601736133	['euphoric', 'yucky']
vectors1840	good vs. bad	cleft	-0.24484416756341215	['euphoric', 'yucky']
vectors1850	good vs. bad	cleft	-0.23148135618067786	['euphoric', 'yucky']
vectors1860	good vs. bad	cleft	-0.24931387107356723	['euphoric', 'yucky']
vectors1870	good vs. bad	cleft	-0.4352600743642006	['euphoric', 'yucky']
vectors1880	good vs. bad	cleft	-0.41296546409374263	['euphoric', 'yucky']
vectors1890	good vs. bad	cleft	-0.6882873802575921	['euphoric', 'yucky']
vectors1900	good vs. bad	cleft	-0.6839065617726732	['euphoric', 'yucky']
vectors1910	good vs. bad	cleft	-0.17702573886482464	['euphoric', 'yucky']
vectors1920	good vs. bad	cleft	-0.6719334094862462	['euphoric', 'yucky']
vectors1930	good vs. bad	cleft	-0.5298157234519603	['euphoric', 'yucky']
vectors1940	good vs. bad	cleft	-0.6548011876395592	['euphoric', 'yucky']
vectors1950	good vs. bad	cleft	-0.8023072031756665	['euphoric', 'yucky']
vectors1960	good vs. bad	cleft	-0.9711954016172997	['euphoric', 'yucky']
vectors1970	good vs. bad	cleft	-0.9958631170246223	['euphoric', 'yucky']
vectors1980	good vs. bad	cleft	-0.9246116796713169	['euphoric', 'yucky']
vectors1990	good vs. bad	cleft	-0.9036855245209789	['euphoric', 'yucky']
vectors1800	good vs. bad	deaf	0.0	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1810	good vs. bad	deaf	0.0	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1820	good vs. bad	deaf	-0.2869543816014977	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1830	good vs. bad	deaf	0.03700526978783491	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1840	good vs. bad	deaf	-0.0014638705724637233	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1850	good vs. bad	deaf	-0.1660453519468323	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1860	good vs. bad	deaf	-0.15739823306485565	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1870	good vs. bad	deaf	0.3257863490663715	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1880	good vs. bad	deaf	0.1387539080321811	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1890	good vs. bad	deaf	-0.15797807434816957	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1900	good vs. bad	deaf	0.06665280638830758	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1910	good vs. bad	deaf	0.3489360974687299	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1920	good vs. bad	deaf	-0.24644699091593827	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1930	good vs. bad	deaf	0.06020151312599349	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1940	good vs. bad	deaf	-0.3123607559028115	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1950	good vs. bad	deaf	0.10753015313706037	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1960	good vs. bad	deaf	-0.3563951257420507	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1970	good vs. bad	deaf	-0.05370236620875255	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1980	good vs. bad	deaf	-0.40140155506787206	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1990	good vs. bad	deaf	-0.31150278126843145	['impairment', 'subtitle', 'euphoric', 'yucky']
vectors1800	good vs. bad	scarred	0.0	['euphoric', 'yucky']
vectors1810	good vs. bad	scarred	0.0	['euphoric', 'yucky']
vectors1820	good vs. bad	scarred	-0.5035736523474251	['euphoric', 'yucky']
vectors1830	good vs. bad	scarred	-0.2080671298469065	['euphoric', 'yucky']
vectors1840	good vs. bad	scarred	-0.20052823630046016	['euphoric', 'yucky']
vectors1850	good vs. bad	scarred	-0.6479535591442259	['euphoric', 'yucky']
vectors1860	good vs. bad	scarred	-0.674904965484178	['euphoric', 'yucky']
vectors1870	good vs. bad	scarred	-0.48988196739691753	['euphoric', 'yucky']
vectors1880	good vs. bad	scarred	-0.9010715144105003	['euphoric', 'yucky']
vectors1890	good vs. bad	scarred	-1.0946688243403992	['euphoric', 'yucky']
vectors1900	good vs. bad	scarred	-1.123105930779798	['euphoric', 'yucky']
vectors1910	good vs. bad	scarred	-0.7191534083987113	['euphoric', 'yucky']
vectors1920	good vs. bad	scarred	-0.9551617377723285	['euphoric', 'yucky']
vectors1930	good vs. bad	scarred	-1.1049897960883366	['euphoric', 'yucky']
vectors1940	good vs. bad	scarred	-0.9165653531151012	['euphoric', 'yucky']
vectors1950	good vs. bad	scarred	-1.0667864953534383	['euphoric', 'yucky']
vectors1960	good vs. bad	scarred	-1.150778353649667	['euphoric', 'yucky']
vectors1970	good vs. bad	scarred	-1.186788802630927	['euphoric', 'yucky']
vectors1980	good vs. bad	scarred	-1.115833803003977	['euphoric', 'yucky']
vectors1990	good vs. bad	scarred	-1.1619861973901322	['euphoric', 'yucky']
vectors1800	good vs. bad	retarded	0.0	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1810	good vs. bad	retarded	0.0	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1820	good vs. bad	retarded	0.0	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1830	good vs. bad	retarded	0.0	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1840	good vs. bad	retarded	0.0	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1850	good vs. bad	retarded	0.11016880408663454	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1860	good vs. bad	retarded	-0.36119017224833416	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1870	good vs. bad	retarded	-0.04805731557553432	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1880	good vs. bad	retarded	-0.37761119530105913	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1890	good vs. bad	retarded	-0.5242864801537978	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1900	good vs. bad	retarded	-0.546463713167719	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1910	good vs. bad	retarded	-0.48250708434503986	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1920	good vs. bad	retarded	-0.6728578866079796	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1930	good vs. bad	retarded	-0.2546866339635466	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1940	good vs. bad	retarded	-0.3890705381567044	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1950	good vs. bad	retarded	-0.643582219940228	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1960	good vs. bad	retarded	-0.7725320931583823	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1970	good vs. bad	retarded	-0.47941047100492884	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1980	good vs. bad	retarded	-0.9297480325407812	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1990	good vs. bad	retarded	-0.5503322689721325	['dysfunction', 'institutionalize', 'euphoric', 'yucky']
vectors1800	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1810	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1820	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1830	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1840	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1850	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1860	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1870	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1880	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1890	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1900	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1910	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1920	good vs. bad	disabled	-0.3819589781837359	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1930	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1940	good vs. bad	disabled	0.0	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1950	good vs. bad	disabled	-0.019783724422293255	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1960	good vs. bad	disabled	-0.8395654521405386	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1970	good vs. bad	disabled	-0.14815335491458126	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1980	good vs. bad	disabled	-1.0236957028930267	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1990	good vs. bad	disabled	-0.8229609053221979	['rehab', 'impairment', 'disadvantaged', 'euphoric', 'yucky']
vectors1800	good vs. bad	schizophrenic	0.0	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1810	good vs. bad	schizophrenic	0.0	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1820	good vs. bad	schizophrenic	0.0	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1830	good vs. bad	schizophrenic	0.0	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1840	good vs. bad	schizophrenic	-0.24118667085147974	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1850	good vs. bad	schizophrenic	-0.24799550021505692	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1860	good vs. bad	schizophrenic	-0.3028081876311759	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1870	good vs. bad	schizophrenic	-0.29941041989204376	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1880	good vs. bad	schizophrenic	-0.4056895898057022	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1890	good vs. bad	schizophrenic	-0.471701105855878	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1900	good vs. bad	schizophrenic	-0.38383719512721426	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1910	good vs. bad	schizophrenic	-0.33721736170320976	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1920	good vs. bad	schizophrenic	-0.43603011632246247	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1930	good vs. bad	schizophrenic	-0.25334159894404557	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1940	good vs. bad	schizophrenic	-0.30801911801230464	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1950	good vs. bad	schizophrenic	-0.50542943522143	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1960	good vs. bad	schizophrenic	-0.4123075682451099	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1970	good vs. bad	schizophrenic	-0.6736796625786008	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1980	good vs. bad	schizophrenic	-0.6748191465888926	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1990	good vs. bad	schizophrenic	-0.7799873159184205	['schizophrenic', 'schizophrenic', 'dopamine', 'praecox', 'dysfunction', 'impairment', 'splitpersonality', 'euphoric', 'yucky']
vectors1800	good vs. bad	short	0.3088731177586497	['pipsqueak', 'euphoric', 'yucky']
vectors1810	good vs. bad	short	-0.33883098674713186	['pipsqueak', 'euphoric', 'yucky']
vectors1820	good vs. bad	short	-0.3796936889948338	['pipsqueak', 'euphoric', 'yucky']
vectors1830	good vs. bad	short	-0.11846619938152597	['pipsqueak', 'euphoric', 'yucky']
vectors1840	good vs. bad	short	0.0020495288363004175	['pipsqueak', 'euphoric', 'yucky']
vectors1850	good vs. bad	short	0.10545311641790531	['pipsqueak', 'euphoric', 'yucky']
vectors1860	good vs. bad	short	0.046905639506195175	['pipsqueak', 'euphoric', 'yucky']
vectors1870	good vs. bad	short	0.22068426051532955	['pipsqueak', 'euphoric', 'yucky']
vectors1880	good vs. bad	short	0.1740039406754065	['pipsqueak', 'euphoric', 'yucky']
vectors1890	good vs. bad	short	-0.133365255661064	['pipsqueak', 'euphoric', 'yucky']
vectors1900	good vs. bad	short	-0.0818947197030077	['pipsqueak', 'euphoric', 'yucky']
vectors1910	good vs. bad	short	0.35329144928935863	['pipsqueak', 'euphoric', 'yucky']
vectors1920	good vs. bad	short	0.08444409613189258	['pipsqueak', 'euphoric', 'yucky']
vectors1930	good vs. bad	short	0.17523269327290628	['pipsqueak', 'euphoric', 'yucky']
vectors1940	good vs. bad	short	0.3034855612306157	['pipsqueak', 'euphoric', 'yucky']
vectors1950	good vs. bad	short	-0.07306418103507581	['pipsqueak', 'euphoric', 'yucky']
vectors1960	good vs. bad	short	0.29332108960819503	['pipsqueak', 'euphoric', 'yucky']
vectors1970	good vs. bad	short	0.2949034375417101	['pipsqueak', 'euphoric', 'yucky']
vectors1980	good vs. bad	short	0.46646033449550506	['pipsqueak', 'euphoric', 'yucky']
vectors1990	good vs. bad	short	0.503513039569762	['pipsqueak', 'euphoric', 'yucky']
vectors1800	good vs. bad	mute	0.0	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1810	good vs. bad	mute	-0.35172187728929727	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1820	good vs. bad	mute	-0.29054628846714475	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1830	good vs. bad	mute	-0.1858745025558792	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1840	good vs. bad	mute	-0.19896956101439808	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1850	good vs. bad	mute	-0.01301276650436138	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1860	good vs. bad	mute	-0.2795803177713543	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1870	good vs. bad	mute	-0.05168449310565179	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1880	good vs. bad	mute	-0.17635585029507114	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1890	good vs. bad	mute	-0.15759966678366427	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1900	good vs. bad	mute	-0.23400776199308274	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1910	good vs. bad	mute	-0.14690615863435807	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1920	good vs. bad	mute	-0.3289803733084663	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1930	good vs. bad	mute	-0.27943771957398156	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1940	good vs. bad	mute	-0.20264979242514367	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1950	good vs. bad	mute	-0.4044761759108378	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1960	good vs. bad	mute	-0.3890536348004347	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1970	good vs. bad	mute	-0.32980576070625006	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1980	good vs. bad	mute	-0.3771871711633372	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1990	good vs. bad	mute	-0.4457543807348168	['lesion', 'aphonia', 'mutism', 'dysarthria', 'wernicke', 'paraphasia', 'euphoric', 'yucky']
vectors1800	good vs. bad	stroke	0.0	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1810	good vs. bad	stroke	0.0	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1820	good vs. bad	stroke	0.0	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1830	good vs. bad	stroke	0.0	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1840	good vs. bad	stroke	-0.11950401902442695	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1850	good vs. bad	stroke	-0.2253865497015879	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1860	good vs. bad	stroke	-0.39066221981627086	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1870	good vs. bad	stroke	-0.6960850599100467	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1880	good vs. bad	stroke	-0.611440826647529	['neurological', 'hospitalize', 'euphoric', 'yucky']
vectors1890	good vs. bad	stroke	-0.5060551726910404	['neurological', 'hospitalize', 'euphoric', 'yucky']
